geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC
BT_2382	fig|226186.12.peg.2440	AAO77489	"Cardiolipin synthase, bacterial type ClsA"	2584.184	4333	2443	833	756	642	51	81	118	1492	1460.318	1897.002	267	94	30	139	105	90
BT_2383	fig|226186.12.peg.2441	AAO77490	RNA polymerase ECF-type sigma factor	172	263	111	201	127	110	0	19	47	156	120	133	72	51	11	278	13	21
BT_2384	fig|226186.12.peg.2442	AAO77491	Xenobiotic acyltransferase XAT family	461	602	576	575	428	429	169	349	263	802	720	654	904	343	341	291	404	341
BT_2385	fig|226186.12.peg.2443	AAO77492	23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	2233	2513	3118	3343	1675	3630	3626	3754	2419	8085.855	10981.813	8516.509	28282	6585	6642	2136	5827	6253
BT_2386	fig|226186.12.peg.2444	AAO77493	"Transcriptional regulator, AsnC family"	2521	2596	2649.842	637	489	537	276	421	425	1096	792	718	830	470	299	601	1154	413
BT_2387	fig|226186.12.peg.2445	AAO77494	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	98	122	107	24	23	40	7	11	0	23	15	11	35	0	0	11	12	13
BT_2388	fig|226186.12.peg.2446	AAO77495	hypothetical protein	8739.937	13728	5952.353	3709	2514	2376	203	401	339	8425	5803	6043	143	110	80	486	221	112
BT_2389	fig|226186.12.peg.2447	AAO77496	Small-conductance mechanosensitive channel	23756.923	29693.767	21165.829	10165.819	8310	11661	474	689	412	18827.731	18573	17021.118	1947	687	596	992	1009	545
BT_2390	fig|226186.12.peg.2448	AAO77497	Thiamin-regulated outer membrane receptor Omr1	4561.044	5257.148	4602.133	1257	940	1107	90	127	81	1658	1610	1643.024	167	44	39	130	166	144
BT_2391	fig|226186.12.peg.2449	AAO77498	"DNA-binding response regulator, AraC family"	3472.003	4439.3	4042	2527	1977	2311	247	330	151	3531	3541	3685	1845	309	275	617	467	382
BT_2392	fig|226186.12.peg.2450	AAO77499	hypothetical protein	8	9	11	2	3	3	0	5	9	0	5	3	4	0	0	10	0	0
BT_2393	fig|226186.12.peg.2451	AAO77500	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	53	64	58	50	80	66	6	13	0	69	78	79	46	0	14	13	8	15
BT_2394	fig|226186.12.peg.2452	AAO77501	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	8.999	18	16	27	7	5	0	0	0	9	10	10	8	0	27	0	23	0
BT_2395	fig|226186.12.peg.2453	AAO77502	hypothetical protein	15.001	29	31	96	71	58	58	62	83	21	21	23	12	0	0	132	0	0
BT_2396	fig|226186.12.peg.2454	AAO77503	Predicted thiamin transporter PnuT	4310.127	5426.505	4832.885	875	541.366	883	149	235	243	1701.754	1059.839	1285	587	224	161	184	701	207
BT_2397	fig|226186.12.peg.2455	AAO77504	Thiamin pyrophosphokinase (EC 2.7.6.2)	1404.862	1695.637	1716.821	300	319.634	310	26	33	48	254.246	309.166	296.48	97	9	66	38	75	46
BT_2400	fig|226186.12.peg.2458	AAO77507	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3442.442	3986.623	3268.84	1303.143	987	1313	0	52	107	489.002	546.151	669.861	42	5	16	9	50	36
BT_2401	fig|226186.12.peg.2459	AAO77508	Threonine synthase (EC 4.2.3.1)	6114.454	6491.868	5786.38	3464.354	2956	4123.378	38	61	36	4407.658	5742.4	4974.139	94	15	55	35	137	35
BT_2402	fig|226186.12.peg.2462	AAO77509	Predicted functional analog of homoserine kinase (EC 2.7.1.-)	7992.577	7937.76	8595.925	5358.503	4393	6403.636	133	127	136	3371.043	3876.681	4587.369	529	39	58	208	247	526
BT_2403	fig|226186.12.peg.2463	AAO77510	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	22650.901	24564.282	23022.409	14629	14664	14858	646	774	682	10072.266	13448.191	13399.804	3088	711	438	640	1344	1290
BT_2404	fig|226186.12.peg.2464	AAO77511	"L-asparaginase I, cytoplasmic (EC 3.5.1.1)"	3133.029	3733.374	4546.551	793	719.741	622	90	68	79	622.566	578	647	654	208	278	42	725	356
BT_2405	fig|226186.12.peg.2465	AAO77512	ATPase	4453.434	4659.171	6022.844	1142.998	1126.259	1066	75	30	24	571.434	680	850.818	119	45	29	67	33	51
BT_2406	fig|226186.12.peg.2466	AAO77513	DNA repair protein RadA	3435.981	3442.219	3038.792	1722	1564.554	1814.833	43	227	84	1907.596	1937.292	1959.286	189	59	33	110	277	65
BT_2407	fig|226186.12.peg.2467	AAO77514	NAD-utilizing dehydrogenases	3286.316	3650.973	3209.956	1387	1094.446	1288.167	24	15	47	1615.275	1690.708	1703.938	94	5	30	37	123	9
BT_2408	fig|226186.12.peg.2468	AAO77515	"Transcriptional regulator, LuxR family"	205	229.287	197.663	69	54	109	0	3	0	55.129	24	46	14	0	0	0	0	14
BT_2409	fig|226186.12.peg.2469	AAO77516	putative TonB-dependent outer membrane protein	1105.957	1311	1138.337	327	273	203	0	41	0	867	745	1218	8	18	0	82	22	40
BT_2410	fig|226186.12.peg.2470	AAO77517	Histone acetyltransferase HPA2 and related acetyltransferases	1947.706	2021.073	2027.434	260	124	294	6	0	0	326.283	344.718	332.755	5	0	40	10	0	0
BT_2411	fig|226186.12.peg.2471	AAO77518	hypothetical protein	2307.365	2580.657	2343.675	1106.187	840.323	1202.408	38	9	38	726.343	771.803	924.104	19	17	0	24	19	34
BT_2412	fig|226186.12.peg.2472	AAO77519	Uncharacterized protease YdcP	14911.934	14889.597	14684.026	15413.045	11216.688	18884.982	652	811.842	780	34525.003	51235.076	40807.224	1874.008	399	458	467.325	962	1612.665
BT_2413	fig|226186.12.peg.2474	AAO77520	Homoserine O-succinyltransferase (EC 2.3.1.46)	73101.975	83504.757	67003.178	22022.768	16183.989	21258.61	172	344.158	253	57327.857	50967.094	49485.638	375.992	115	92	276.675	553	352.335
BT_2414	fig|226186.12.peg.2475	AAO77521	Ferredoxin	239262.6	320032.468	200809.728	187407.883	93617	121920	6716	9996	6444	60774.721	38966	37650.837	1752	679	831	6054	1551	662
BT_2415	fig|226186.12.peg.2476	AAO77522	Aspartate aminotransferase (EC 2.6.1.1)	34184.711	38469.246	32888.443	10234.798	8203	10338.892	1422	1723	1900	12302.898	11869.995	11309.424	667.99	307	500	772	513	452
BT_2416	fig|226186.12.peg.2477	AAO77523	"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"	11660.907	13793.034	10692.725	7630.202	7544	7896	583	668	572.871	5539.289	6642.783	6682.881	397.01	129	192	244	332	156
BT_2417	fig|226186.12.peg.2478	AAO77524	Lipopolysaccharide export system permease protein LptF / Domain of unknown function	25656.643	27113.521	24227.984	15071	12999	15469	878	1281	949.129	20453.998	21178.741	23308.004	2961.355	546	398	2658	1365.916	825
BT_2418	fig|226186.12.peg.2479	AAO77525	hypothetical protein	2670.659	3667.013	2924.122	83	102	85	6	0	0	865.828	866.08	894.208	230.645	41	2	70	66.084	31
BT_2419	fig|226186.12.peg.2480	AAO77526	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"	9522.014	10774	8938.994	3856	3481	4038	2647	3102	3083	4196.563	4897.095	4533	3853.752	1540	1632	2034	2501	3615
BT_2420	fig|226186.12.peg.2481	AAO77527	Two-component system sensor histidine kinase FrrD	1545.624	1611	1622.024	1489.892	1420	1698	678	663.011	825	1856.946	1938.75	1873.648	1090.5	384	269	662.86	716.965	698.675
BT_2421	fig|226186.12.peg.2482	AAO77528	Osmosensitive K+ channel histidine kinase KdpD	301.363	327	285	219.108	124	140	518	317.989	279	414.16	461.495	378.912	582.275	151	218	499.16	317.035	455.325
BT_2422	fig|226186.12.peg.2484	AAO77529	FrrB	182	140	132	37	30	10	189	234	127	287.843	250.754	191.454	398.473	113	148	659.98	198	260
BT_2423	fig|226186.12.peg.2485	AAO77530	Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	151.158	172	165.001	47	51	66	454	417	391	125	100.452	76.919	365.414	119	161	565.311	182.143	240
BT_2424	fig|226186.12.peg.2486	AAO77531	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	1558.849	1725.619	1817.905	333	335	366	2099.561	1923	2789	1437.013	1008.548	1092.084	3380.847	779.459	1062	2738.192	1483.315	2699.288
BT_2425	fig|226186.12.peg.2487	AAO77532	Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	967.993	821.423	1125	277	263	277	2006.439	1483	2166	541.987	534	606.997	1234.739	432.541	501	1881.497	566.542	1113.712
BT_2426	fig|226186.12.peg.2488	AAO77533	hypothetical protein	126	78.238	182	429.396	511	364.397	83.641	54	34	106	222.495	141.245	115	73	0	16	12	39
BT_2429	fig|226186.12.peg.2491	AAO77536	hypothetical protein	610	864	812	37	39	57	0	48	0	53	40	43	106	49	21	39	9	0
BT_2430	fig|226186.12.peg.2492	AAO77537	Hexokinase (EC 2.7.1.1)	1383	2255	1306	3785	3741	3475	80	115	108	5456.242	5530	8114	255	67	126	60	172	95
BT_2431	fig|226186.12.peg.2493	AAO77538	hypothetical protein	1875	2465	1976	3379	2924	3703	524	596	341	3393.155	3118	2603	953	291	293	420	726	682
BT_2432	fig|226186.12.peg.2494	AAO77539	Beta-mannosidase (EC 3.2.1.25)	1083.985	1328.028	1141.035	483	393	400	83	78	93	531.01	461	516	231	51	43	139	286	99
BT_2433	fig|226186.12.peg.2495	AAO77540	"Two-component transcriptional response regulator, LuxR family"	9100.149	10949.972	9157.38	7075	5551	7645	1830	1959	1454	14377.99	12590.756	10681.057	2463	1881	1721	2159	5502	2471
BT_2434	fig|226186.12.peg.2496	AAO77541	CoA-disulfide reductase (EC 1.8.1.14) / Disulfide bond regulator	17668	23608.673	16050.939	10858	8214	12177	456	585	296	13755.575	13107.008	14122.503	442	117	265	226	736	373
BT_2435	fig|226186.12.peg.2497	AAO77542	"Transcriptional regulator, MarR family"	702	882.709	812.006	276	163	236	35	20	10	522.572	318.992	464.309	55	7	0	7	40	11
BT_2436	fig|226186.12.peg.2498	AAO77543	putative secreted tripeptidyl aminopeptidase	1063	1160	921	70	53	137	18	52	97	89	127	86	42	43	8	22	33	0
BT_2437	fig|226186.12.peg.2499	AAO77544	hypothetical protein	22428.081	29973.275	21350.185	76167.993	77760.634	74040.335	296	436.123	476.315	56236.814	57571.461	61861.218	1034.303	472.581	412	199	690.578	457.275
BT_2438	fig|226186.12.peg.2500	AAO77545	hypothetical protein	112901.793	104789.053	87227.801	1254924.582	956340.855	1024502.153	8721	14776.877	10325.685	1189069.648	910217.179	844134.178	1948.697	1312.419	1217	3293	2169.422	992.725
BT_2439	fig|226186.12.peg.2501	AAO77546	beta-glycosyl hydrolase / Uncharacterized esterase	15814.825	19476.597	15184.319	15657.13	13182.144	15509	4852	4777	3535.616	49221.898	45594.147	35829.205	20829	5439	5382	8983	16011	12529
BT_2440	fig|226186.12.peg.2502	AAO77547	5'-nucleotidase (EC 3.1.3.5)	1985.178	2160.806	1755.117	1968.515	1636.574	1900	7	25	32.384	1378.487	1327.176	1297.892	150.377	74	18	67	86	55
BT_2441	fig|226186.12.peg.2503	AAO77548	5'-nucleotidase (EC 3.1.3.5)	1437.233	1588.024	1603.123	1194.355	1261.282	1159	46	38	122	698.891	685.677	855.241	226.623	120	83	72	71	77
BT_2442	fig|226186.12.peg.2504	AAO77549	major outer membrane protein OmpA	26	24	12	33	42	33	27	22	8	87	56	83	14	2	25	37	17	0
BT_2443	fig|226186.12.peg.2505	AAO77550	hypothetical protein	29	54	50	21	17	34	38	18	0	47	51	54	10	12	0	58	29	23
BT_2444	fig|226186.12.peg.2506	AAO77551	hypothetical protein	12	33	15	53	22	29	18	31	65	85	79	78	35	18	16	65	21	0
BT_2445	fig|226186.12.peg.2507	AAO77552	Integrase	0	0	3	1	1	2	0	0	0	2	12	6	0	0	0	0	0	0
BT_2446	fig|226186.12.peg.2508	AAO77553	Integrase	1013.955	974.59	735	693	507	487	53	81	87	627	657	589	169	36	32	88	111	167
BT_2447	fig|226186.12.peg.2509	AAO77554	Integrase	65.045	70.41	61	26	32	25	0	15	18	18	18	27	3	0	1	30	11	13
BT_2448	fig|226186.12.peg.2510	AAO77555	hypothetical protein	189	166	125	36	42	23	5	32	37	213	238	220	20	13	11	35	26	19
BT_2449		AAO77556		90	116	106	21	24	26	32	23	22	38	16	31	21	0	0	34	0	0
BT_2450	fig|226186.12.peg.2511	AAO77557	hypothetical protein	1706.205	2723.135	2007.048	3	4	15	0	0	29	9	7	9	9	0	10	26	0	13
BT_2451	fig|226186.12.peg.2512	AAO77558	putative pyrogenic exotoxin B	1916.526	2720.167	1884.286	16	19	2	6	14	0	11	4	10	20	0	0	54	4	0
BT_2452		AAO77559		306.28	386.773	256.264	5	0	0	0	5	0	8	9	3	3	0	0	25	0	0
BT_2453		AAO77560		85	93	48.402	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BT_2454		AAO77561		99.995	84	77	4	2	4	0	0	0	3	1	1	0	0	0	0	0	0
BT_2455	fig|226186.12.peg.2513	AAO77562	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	28.603	21.083	15.903	31.001	24	36	11	15	16	44.104	31.294	43.198	31	10	0	2	9	0
BT_2456	fig|226186.12.peg.2514	AAO77563	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	23.397	32.917	28.097	109.999	90	137	9	44	6	170.896	110.706	149.802	17	0	0	15	11	13
BT_2457	fig|226186.12.peg.2515	AAO77564	putative purple acid phosphatase	141	174	107.535	69	28	61	10	20	55	51	42	53	31	8	0	6	1	0
BT_2458	fig|226186.12.peg.2516	AAO77565	hypothetical protein	1095	1518	1066.606	653	506	824	72	70	23	1561.726	1913	1679	122	30	22	207	117	100
BT_2459	fig|226186.12.peg.2517	AAO77566	beta-glycosyl hydrolase	402	490	482	286	237	337	0	22	38	591.277	478	476	64	27	15	48	108	37
BT_2460	fig|226186.12.peg.2518	AAO77567	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	161	193	173	184	158	141	0	35	35	174.656	136	179.388	18	0	15	2	63	53
BT_2461	fig|226186.12.peg.2519	AAO77568	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	789	860	745	425	358	464	104	132	197	349.344	388	427.612	630	202	149	122	149	234
BT_2462	fig|226186.12.peg.2520	AAO77569	Putative anti-sigma factor	208.559	292	192	111	64	95	109	127	16	109	121	129.303	832	342	231	122	141	217
BT_2463	fig|226186.12.peg.2521	AAO77570	RNA polymerase ECF-type sigma factor	287	406	279	63	65	34	0	0	0	29	21	27.697	16	6	0	17	11	0
BT_2464		AAO77571		25	53	38	20	0	0	0	0	0	19	10	10	3	0	0	0	0	9
BT_2465	fig|226186.12.peg.2522	AAO77572	hypothetical protein	65	99	102	171	150	166	155	169	175	209	237	203	240	167	32	131	255	106
BT_2466		AAO77573		471	507	468	538	359	608	30	119	44	366	227	282	14	20	0	346	3	10
BT_2467		AAO77574		18	31	4	0	2	3	0	9	0	6	7	4	34	0	0	7	0	0
BT_2468	fig|226186.12.peg.2525	AAO77575	hypothetical protein	12	11	9	5	8	0	6	0	0	16	12	9	8	0	0	0	0	0
BT_2469		AAO77576		3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_2470		AAO77577		20	29	16	0	3	3	0	0	0	0	0	0	0	0	0	0	12	0
BT_2471		AAO77578		19	7	14	4	0	3	0	0	18	0	2	9	0	0	0	0	0	0
BT_2472	fig|226186.12.peg.2526	AAO77579	Uncharacterized protein CHU_1311	361	482	417	42	23	34	9	0	0	41	22	41	80	0	24	12	0	15
BT_2473	fig|226186.12.peg.2527	AAO77580	hypothetical protein	4268.291	3966.483	4413.091	341	318	253	16	36	32	1008.571	844.998	795.994	93	4	0	31	60	74
BT_2474	fig|226186.12.peg.2528	AAO77581	Putative cytochrome C-type biogenesis protein	5792.548	5574.542	5780.559	536	496.001	860	48	58	53	1133.816	1227.097	1097.436	128.302	15	79	11	139	57
BT_2475	fig|226186.12.peg.2529	AAO77582	"uncharacterized domain / RidA/YER057c/UK114 superfamily, group 5"	14920.86	15932.513	13929.038	2053	1507.999	2220	98	119	79	2960.477	2530.154	2045.572	182.698	113	106	16	367	192
BT_2476	fig|226186.12.peg.2530	AAO77583	hypothetical protein	2245.011	2312.822	2291.096	268.822	162.356	355	6	0	7	197.46	207.654	252.045	58	28	19	8	37	8
BT_2477	fig|226186.12.peg.2531	AAO77584	hypothetical protein	3435.567	3428.145	3633.115	323.178	291.005	376	21	20	3	282.792	325.406	435.311	62	52	0	22	17	0
BT_2478	fig|226186.12.peg.2532	AAO77585	Probable thiol oxidoreductase with 2 cytochrome c heme-binding sites	7942.115	8088.62	7899.068	846	811.639	1051	6	62	11	2102.722	2075.94	1801.908	34	4	64	18	95	30
BT_2479	fig|226186.12.peg.2533	AAO77586	Iron-regulated protein A precursor	11715.645	12588.729	12199.021	854.428	947	1190.013	25	83	120	909.788	1379.664	1185.622	178	87	63	2	117	187
BT_2480	fig|226186.12.peg.2534	AAO77587	hypothetical protein	5241.446	5903.945	4735.922	452.006	508	449	45	49	14	411.647	550.336	587.114	87	30	74	0	32	20
BT_2481	fig|226186.12.peg.2535	AAO77588	hypothetical protein	124.971	181	199.973	79.567	37	73	7	11	0	55.844	61	49	10	5	0	0	0	0
BT_2482	fig|226186.12.peg.2536	AAO77589	"Transcriptional regulator, AcrR family"	1375	1555	1341	278	195	191	0	0	0	229	176	184	15	15	0	1	49	0
BT_2483		AAO77590		97	152	135	66	36	52	0	1	0	8	12	7	0	0	0	1	0	0
BT_2484	fig|226186.12.peg.2538	AAO77591	Mobile element protein	1155	1248.003	1279	1375	1199	1429	176	312	142	1398	2092	1471	748	258	169	132	115	151
BT_2485	fig|226186.12.peg.2539	AAO77592	major outer membrane protein OmpA	29	27	19	24	12	27	46	14	22	35	23	19	11	0	0	35	0	0
BT_2486	fig|226186.12.peg.2540	AAO77593	hypothetical protein	471	624	440	605	482	471	337	294	208	877	839	825	366	145	96	1465.02	332	186
BT_2487		AAO77594		1	1	0	0	3	0	0	1	0	0	0	4	3	0	0	0	0	0
BT_2488	fig|226186.12.peg.2541	AAO77595	Mobile element protein	2121.32	2924	2441	2327	1750	2626	247	333	124	2280	2121	2242	967	457	227	201	248	218
BT_2489	fig|226186.12.peg.2542	AAO77596	LSU ribosomal protein L19p	117465.006	150677.286	123411.604	31384	23194	25311	1546	2542	2241	21843.858	21744.993	25322.543	681	178	266	1236.043	893	875
BT_2490		AAO77597		45	60	56	2	7	1	0	12	40	17	23	11	74	46	21	106	183	121
BT_2491	fig|226186.12.peg.2543	AAO77598	hypothetical protein	251	277.52	250.678	179.203	151	146	31	24	43	291.092	496.044	545.521	411.606	223	92	305	134	91
BT_2492	fig|226186.12.peg.2544	AAO77599	RNA polymerase ECF-type sigma factor	782	813.271	1028.422	1071.797	803	1160	27	42	21	541.908	584.265	801.479	245.394	280	91	93	211	14
BT_2493	fig|226186.12.peg.2545	AAO77600	ROK family sugar kinase or transcriptional regulator	20229.49	22950.629	18179.605	8211	9042	10454	2378	2333	2519	5820.054	8353	8342	2907	1605	1221	907	993	1339
BT_2494	fig|226186.12.peg.2546	AAO77601	"ABC-type antimicrobial peptide transport system, ATPase component"	3302.269	3696.038	3276.575	6126.326	5201.563	4194	282	339	297	10738.832	10892.05	12624.392	2401	1322	587	308	674	420
BT_2495	fig|226186.12.peg.2547	AAO77602	"ABC transporter, permease protein"	2382.867	2544.91	2384.407	3385.722	3377.886	3107.354	89	118	163	4628.407	5603.429	6571.437	169	63	64	175.165	147	36.766
BT_2496	fig|226186.12.peg.2548	AAO77603	"ABC transporter, ATP-binding protein"	3890.51	4322.483	3558.274	5209.952	4150.551	4301.646	174	197	125	14020.894	12449.175	14328.586	633	246	218	177.835	792	588.234
BT_2497	fig|226186.12.peg.2549	AAO77604	"ABC transporter, RND-adapter-like protein"	1157.154	1194.233	1058.843	1797.722	1842	1514	35	20	56	2846.461	3089.491	3687.425	109.698	93	33	97	25	54
BT_2498	fig|226186.12.peg.2550	AAO77605	"Efflux transport system, outer membrane factor (OMF) lipoprotein BT_2498"	1650.26	1755.055	1286.185	1898.278	1683	1396	99	126	116	7802.881	6427.748	5223.343	501.302	164	130	294	408	262
BT_2499	fig|226186.12.peg.2551	AAO77606	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11) / Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	8456.434	15513.384	7575.629	4579	4260	4797	289	428	453	3448	3302	4271.007	195	69	61	71	128	130
BT_2500	fig|226186.12.peg.2552	AAO77607	hypothetical protein	1760	1973	2059.001	5012	3856	3857	4144	4980	4497	13784.885	10709	12125.182	10693	5395	3389	17283	34344	11395
BT_2501	fig|226186.12.peg.2553	AAO77608	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	942	1067	986	448	410	287	30	0	8	315	275	330	48	0	8	16	37	64
BT_2502	fig|226186.12.peg.2554	AAO77609	hypothetical protein	1891.039	2123.436	1827.358	3229	2761.019	3034	96	134	73	7032.03	8193.885	6951.919	454	86	31	127	128	245
BT_2503	fig|226186.12.peg.2555	AAO77610	hypothetical protein	964.96	959.446	852.461	633	674.981	668	69	44	18	418.047	659.315	633.9	169.243	100	77	33	105	36
BT_2504	fig|226186.12.peg.2556	AAO77611	hypothetical protein	990.012	1111.118	913.753	411	295	401	22	18	17	429.241	448.473	414.203	70.757	35	20	70	10	0
BT_2505	fig|226186.12.peg.2557	AAO77612	Uncharacterized RNA-binding protein BT2505	2849.063	2951	3327.428	1419	1464	1201	173	276	153	1704.68	2187.327	2236.979	1077	405	164	156	312	230
BT_2506		AAO77613		1816.661	2497.026	2298.641	44	53	37	38	65	39	140	112	121.89	235.448	123	45	356	81	95
BT_2507	fig|226186.12.peg.2560	AAO77614	hypothetical protein	870.12	1251.357	787.129	49	45	15	33	57	103	34	45	44.11	178.552	76	15	483	66	111
BT_2508	fig|226186.12.peg.2561	AAO77615	hypothetical protein	285.218	298.617	328.311	11	12	17	0	13	0	17	35	25	63	16	28	90	37	12
BT_2509	fig|226186.12.peg.2562	AAO77616	"Transcriptional regulator, YafY family"	283	437	275	13	6	8	0	48	18	21	11	4	58	0	0	97	16	26
BT_2510	fig|226186.12.peg.2563	AAO77617	Malate dehydrogenase (EC 1.1.1.37)	20841	28228.001	19243.94	69022.963	65667.136	86657	6668	8387	9398	148504.923	139900.383	156048.008	9730	6148	4949	5047	4898	3489
BT_2511	fig|226186.12.peg.2564	AAO77618	Zinc uptake regulation protein Zur	610.009	526.934	512.375	295	251	227.964	172	201	145	137.336	152.31	146.3	233.399	22	35	269	130	79
BT_2512	fig|226186.12.peg.2565	AAO77619	Zinc-regulated zinc transporting ATPase ZntA	5556.015	4742.165	4973.787	4865	4471	4034.036	468	580	327	2827.743	3278.69	3048.298	1387.601	471	413	652	1085	475
BT_2513	fig|226186.12.peg.2566	AAO77620	"Fic domain protein, MA2133 type"	4539.143	5252	4602.018	5647	4370	4841	1637	1775	1391	5785	5095.912	3963	1024	560	611	1192	1066	884
BT_2514		AAO77621		3	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0
BT_2515		AAO77622		2	5	8	14	51	28	10	64	27	75	105	49	82	31	77	11	22	18
BT_2516	fig|226186.12.peg.2567	AAO77623	hypothetical protein	994	1241	938	143	75	111	50	27	25	78	65	71	4	0	0	56	0	22
BT_2517	fig|226186.12.peg.2569	AAO77624	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)	20196.994	20177.955	19056.763	14360.325	11936	15286.946	597	814	655	30288.837	33591.049	28368.112	1679	513	588	469.295	1234	939
BT_2518	fig|226186.12.peg.2570	AAO77625	N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)	4437.696	4144.221	4313.482	1916.002	1646	1977.054	138	222	212	1910.365	1621.182	1937.808	65	18	34	69.705	75	81
BT_2519	fig|226186.12.peg.2571	AAO77626	Glycine cleavage system H protein	2059.948	1978.559	1719.237	733	505	668	16	37	22	1384.67	1083.682	1137.566	60	10	57	44	36	17.638
BT_2520	fig|226186.12.peg.2572	AAO77627	hypothetical protein	3282.636	3548.789	2783.989	2281.249	2020.325	3042	72	162	150	1407.665	1617.786	1479.867	83	68	57	80	47	82.362
BT_2521	fig|226186.12.peg.2573	AAO77628	RNA polymerase sigma-54 factor RpoN	14883.8	15791.805	15882.753	21208.751	18269.675	19347	1113	1416	1091	13536.331	13675.597	14563.646	2818	1249	1173	641	5160	2967
BT_2522	fig|226186.12.peg.2574	AAO77629	Xaa-Pro aminopeptidase (EC 3.4.11.9)	7982.31	8770.942	8239.401	10252	8815	9011	1828	2996	2756	9994	10600	9748	3714	1135	1301	1131	2874	2557
BT_2523	fig|226186.12.peg.2575	AAO77630	alpha-rhamnosidase	2686	2663.517	2522.382	1536	1193	1384	344	376	176	2205	1971	2048.631	821	285	166	1016	1617	766
BT_2524	fig|226186.12.peg.2576	AAO77631	alpha-rhamnosidase	858.009	922.483	786.063	352	336	386	53	32	73	402	374	443.369	54	26	41	23	195	27
BT_2525	fig|226186.12.peg.2577	AAO77632	cephalosporin-C deacetylase	251	223	234.556	110	100	148	0	29	22	156	104	164	5	18	0	1	31	0
BT_2526		AAO77633		14529.167	20510.742	14025.559	4212.001	3349	3206	208	697	585	5615.453	5197	4851.27	551	182	230	1399	356	174
BT_2527	fig|226186.12.peg.2578	AAO77634	"Uridine kinase, type 2 (EC 2.7.1.48)"	12498.079	19925.281	16000.925	13161	9688	16918	766	1228	952	14831	16084.959	16398.207	1750	707	449	1731	861	671
BT_2528	fig|226186.12.peg.2579	AAO77635	Sodium-dependent phosphate transporter	10372.165	12322	8837.835	5205	4264.752	4992	213	269	201	2839	2126	2381.211	273	132	59	163	126	174
BT_2529	fig|226186.12.peg.2581	AAO77636	hypothetical protein	32	21	27	5	8	20	0	5	30	5	8	6	0	0	0	0	22	0
BT_2530	fig|226186.12.peg.2582	AAO77637	"conserved hypothetical protein, with a conserved domain"	49	72	51	203	118	99	0	25	0	299	185	245	27	0	0	9	6	0
BT_2531	fig|226186.12.peg.2583	AAO77638	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	66	62	59	60	46	32	0	3	9	72	78	48	15	9	0	3	15	0
BT_2532	fig|226186.12.peg.2584	AAO77639	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	36	54	36	50	41	26	47	20	10	93	88	78.003	8	0	36	12	56	17
BT_2533	fig|226186.12.peg.2585	AAO77640	hypothetical protein	10	13	4	0	6	1	0	0	0	6	2	4.997	18	0	0	0	6	0
BT_2534	fig|226186.12.peg.2586	AAO77641	Putative DNA-binding protein	750	769	769.004	346	284	298	116	66	55	591	471	485	225	14	15	69	20	74
BT_2535	fig|226186.12.peg.2587	AAO77642	hypothetical protein	136	218.148	205	39	65	56	13	14	11	38	8	27	18	9	0	45	76	44
